Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000400704444301246,2.53834015733273E-05,-0.00850922709249782,0,0,0,0.158098732405424,0.000154350646624654,-2.77272753195956E-07,-2.27161818492852E-06,0.000154004906445453,-7.99058211216347E-09,0.000217118434161234,0,0,0,0,0,0,package://threefingerv7/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/base_link.STL,,base-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
move_link,-1.38840313242298E-18,1.1767319360884E-17,-0.00419243214234177,0,0,0,0.0085021271877303,9.76418874057016E-07,-1.05879118406788E-22,3.53801734527502E-23,9.7641887405701E-07,5.4830223945276E-23,1.86965817859979E-06,0,0,0,0,0,0,package://threefingerv7/meshes/move_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/move_link.STL,,移动块-1;移动块screw-1,坐标系2,基准轴1,move_joint,prismatic,0,0,0.025087,0,0,0,base_link,0,0,-1,5000,2,-0.5,0.5,,,,,,,,
11_link,-0.0064999999999939,-5.07406616723216E-15,0.015,0,0,0,0.0023425840131754,4.99013749037845E-07,1.32348898008484E-23,-7.74228380420826E-24,5.48312815441792E-07,-4.68478650567877E-23,7.32310540795453E-08,0,0,0,0,0,0,package://threefingerv7/meshes/11_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/11_link.STL,,工形连杆-2,axis11,11,11_joint,revolute,-0.0093875,0.02274,-0.004,1.5708,1.1355,-0.5236,move_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
12_link,-0.0293208969248166,-0.00876107376233067,0.0190000001135646,0,0,0,0.0122579255984349,9.84660892016069E-07,1.31799544484654E-06,-2.57676349373328E-14,7.20160465350243E-06,1.09652704731506E-14,7.77283391142852E-06,0,0,0,0,0,0,package://threefingerv7/meshes/12_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/12_link.STL,,L形指尖-1,axis12,12,12_joint,revolute,-0.013,0,-0.004,0,0,0,11_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
21_link,0.00649999999999391,-5.00901403688303E-15,-0.019,0,0,0,0.0023425840131754,4.99013749037844E-07,-5.9557004103818E-23,-1.3648480107125E-22,5.48312815441791E-07,-8.27180612553028E-24,7.32310540795452E-08,0,0,0,0,0,0,package://threefingerv7/meshes/21_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/21_link.STL,,工形连杆-3,axis21,21,21_joint,revolute,-0.019,-0.0195,-0.004,1.5708,-1.1355,-1.5708,move_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
22_link,0.0293216343766863,-0.00876108435078396,-0.0190000103494336,0,0,0,0.0122572499897457,9.84650226311451E-07,-1.31798330895562E-06,-1.09743409174181E-12,7.20145547037363E-06,3.4075082013164E-13,7.77268089083732E-06,0,0,0,0,0,0,package://threefingerv7/meshes/22_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/22_link.STL,,L形指尖-2,axis22,22,22_joint,revolute,0.013,0,0,0,0,0,21_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
31_link,-0.00649999999999392,-5.04370850640257E-15,0.019,0,0,0,0.0023425840131754,4.99013749037845E-07,3.30872245021211E-24,2.23338765389317E-23,5.48312815441792E-07,2.15066959263787E-22,7.32310540795452E-08,0,0,0,0,0,0,package://threefingerv7/meshes/31_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/31_link.STL,,工形连杆-1,axis31,31,31_joint,revolute,0.026387,-0.0067045,-0.004,1.5708,1.1355,-2.618,move_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
32_link,0.0293216345242573,-0.00876108429611774,-0.0189999898761313,0,0,0,0.0122572498826079,9.84650224489368E-07,-1.31798329819406E-06,1.04568287397069E-12,7.20145543798657E-06,-3.61695921355528E-13,7.77268085824629E-06,0,0,0,0,0,0,package://threefingerv7/meshes/32_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/32_link.STL,,L形指尖-3,axis32,32,32_joint,revolute,-0.013,0,0,3.1416,0,3.1416,31_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
12_link2,-0.0257672114540679,-0.00251198810799962,-0.0200000001135646,0,0,0,0.0122579255984349,1.08217608123952E-06,1.5276940884221E-06,2.79885195806309E-14,7.10408946427898E-06,-9.22469868117888E-16,7.77283391142852E-06,0,0,0,0,0,0,package://threefingerv7/meshes/12_link2.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/12_link2.STL,,L形指尖-1,axis13,13,12_joint2,revolute,-0.031397,0.041221,0.03,1.0472,1.5708,0,base_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
22_link2,-0.0257678756757427,-0.00251166755075601,-0.0200000103494336,0,0,0,0.0122572499897457,1.08215006735288E-06,1.52764894748895E-06,8.51419242627871E-13,7.1039556293322E-06,-7.71724029513573E-13,7.77268089083732E-06,0,0,0,0,0,0,package://threefingerv7/meshes/22_link2.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/22_link2.STL,,L形指尖-2,axis23,23,22_joint2,revolute,-0.02,-0.047801,0.03,3.1416,1.5708,0,base_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
32_link2,-0.0257678758326022,-0.00251166753809726,-0.0199999898761313,0,0,0,0.0122572498826079,1.0821500683257E-06,1.52764894273758E-06,-7.9566191835571E-13,7.10395559415024E-06,7.68894483766018E-13,7.77268085824629E-06,0,0,0,0,0,0,package://threefingerv7/meshes/32_link2.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv7/meshes/32_link2.STL,,L形指尖-3,axis33,33,32_joint2,revolute,0.051397,0.0065801,0.03,1.0472,1.5708,0,base_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
